ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
10756,23438,-4666,12840,-8722,-326,49,-77,-948,-4306,-9.48,-43.06,-1,69.09774436090225
10806,23319,-5090,12232,-9150,-502,-111,116,-852,-4400,-8.52,-44.0,-1,53.46015037593985
10856,23086,-5504,13932,-7456,-1168,-218,107,-758,-4584,-7.58,-45.84,-1,39.80075187969925
10906,22750,-4098,12714,-7402,-1221,-361,193,-755,-4605,-7.55,-46.05,-1,26.87669172932331
10956,22341,-5942,13434,-5480,-1801,-109,159,-629,-4797,-6.29,-47.97,-1,11.531578947368422
11006,21956,-4386,14694,-2714,-1947,-385,431,-612,-5136,-6.12,-51.36,-1,-7.954135338345865
11056,21571,-4456,15170,-1902,-2231,-260,369,-598,-5449,-5.98,-54.49,-1,-33.52406015037594
11106,21154,-2856,15576,54,-1998,-240,559,-675,-5824,-6.75,-58.24,-1,-63.418796992481205
11156,20840,-4012,15680,3290,-1921,-121,186,-685,-6025,-6.85,-60.25,-1,-99.36466165413533
11206,20498,-3206,15586,3838,-1392,-287,342,-735,-6203,-7.35,-62.03,0,-130.08195488721805
11256,20250,-3554,15502,6234,-1466,-253,194,-766,-6248,-7.66,-62.48,0,-158.97593984962407
11306,20057,-2510,15524,5926,-1019,-344,314,-845,-6322,-8.45,-63.22,0,-186.2045112781955
11356,19994,-2544,15050,7254,-924,-209,265,-910,-6316,-9.1,-63.16,0,-208.73984962406016
11406,19706,-1774,15106,6530,-811,-121,283,-1004,-6356,-10.04,-63.56,0,-228.5172932330827
11456,19024,-2290,13514,8838,-1077,-66,117,-1054,-6240,-10.54,-62.4,0,-251.59172932330827
11506,17114,-1536,13682,7974,-1179,-15,13,-1135,-6193,-11.35,-61.93,0,-295.36165413533837
11556,15700,-2446,11900,10432,-1372,10,67,-1155,-5982,-11.55,-59.82,0,-349.312030075188
11606,14382,-1536,11958,9820,-1656,31,222,-1163,-5963,-11.63,-59.63,0,-410.23533834586465
11656,13989,-1554,11544,12418,-1232,72,166,-1232,-5708,-12.32,-57.08,0,-462.81654135338346
11706,14134,-1652,11274,12290,-915,-38,175,-1285,-5484,-12.85,-54.84,0,-498.4458646616541
11756,13832,-1078,11490,12378,-1270,42,158,-1359,-5302,-13.59,-53.02,0,-525.2127819548872
11806,13010,-1592,8456,13964,-1240,-11,170,-1394,-4971,-13.94,-49.71,0,-551.1563909774436
11856,11717,-594,9692,13888,-1347,177,-12,-1477,-4747,-14.77,-47.47,-1,-583.7481203007519
11906,9389,-2008,6578,14808,-1210,168,-83,-1471,-4390,-14.71,-43.9,-1,-637.806015037594
11956,8528,-1636,6948,14308,-1008,-82,170,-1485,-4116,-14.85,-41.16,-1,-690.5300751879699
12006,8028,-1646,5228,17240,-634,-189,192,-1488,-4067,-14.88,-40.67,-1,-735.7045112781955
12056,7402,-734,5996,17610,-663,-155,74,-1496,-4023,-14.96,-40.23,-1,-774.9563909774436
12106,6514,-1774,4080,15558,-1313,-104,83,-1499,-3638,-14.99,-36.38,-1,-812.1714285714286
12156,5508,-784,4496,17216,-756,-125,103,-1507,-3594,-15.07,-35.94,-1,-846.7007518796993
12206,5652,-1274,3582,17610,-594,-109,51,-1512,-3545,-15.12,-35.45,-1,-861.5172932330827
12256,5405,-354,3874,17382,-447,-114,-16,-1522,-3499,-15.22,-34.99,-1,-861.4533834586466
12306,4822,-750,2390,17488,-652,-48,-48,-1530,-3444,-15.3,-34.44,-1,-850.4421052631579
12356,4928,-792,2468,18160,-534,124,-117,-1538,-3391,-15.38,-33.91,-1,-816.0015037593985
12406,4926,-1390,1304,17732,-206,59,-18,-1541,-3331,-15.41,-33.31,-1,-763.4812030075188
12456,4973,-940,1038,15286,-37,-122,64,-1546,-3272,-15.46,-32.72,-1,-698.8323308270677
12506,5611,-836,1448,16892,20,-64,25,-1594,-2853,-15.94,-28.53,-1,-634.0977443609023
12556,5831,-1014,1436,16810,-12,-11,8,-1625,-2497,-16.25,-24.97,-1,-571.2488721804511
12606,5376,-656,1442,16864,-66,-46,23,-1670,-2194,-16.7,-21.94,-1,-520.86992481203
12656,4858,-654,1456,16780,-56,16,-38,-1708,-1938,-17.08,-19.38,-1,-470.55338345864664
12706,4581,-820,1446,16854,-24,20,-28,-1733,-1720,-17.33,-17.2,-1,-408.1736842105263
12756,4565,-880,1232,16922,-64,8,-2,-1750,-1523,-17.5,-15.23,-1,-336.42556390977444
12806,4220,-848,942,16476,-76,-18,27,-1766,-1342,-17.66,-13.42,-1,-268.64962406015036
12856,4216,-864,1320,16868,-23,4,-7,-1779,-1206,-17.79,-12.06,-1,-208.12857142857143
12906,3999,-756,1332,16774,-51,7,12,-1796,-1092,-17.96,-10.92,-1,-176.18571428571428
12956,3961,-872,1078,16694,-65,14,4,-1804,-982,-18.04,-9.82,-1,-150.27518796992481
13006,4008,-1040,992,16750,-26,12,1,-1802,-884,-18.02,-8.84,-1,-124.7203007518797
13056,3899,-724,1126,16714,-28,-4,9,-1817,-808,-18.17,-8.08,-1,-104.56165413533834
13106,3964,-920,1024,16722,-6,-15,3,-1819,-738,-18.19,-7.38,-1,-92.22781954887218
13156,4101,-832,1058,16784,-11,-23,9,-1826,-680,-18.26,-6.8,-1,-89.98646616541353
13206,4193,-840,1074,16732,-6,-24,24,-1831,-632,-18.31,-6.32,-1,-82.04135338345864
13256,4293,-846,1038,16814,-4,-23,11,-1835,-588,-18.35,-5.88,-1,-74.37368421052632
13306,4290,-800,1140,16798,-19,-23,17,-1841,-557,-18.41,-5.57,-1,-74.28195488721805
13356,4271,-762,1024,16750,-15,-17,21,-1848,-524,-18.48,-5.24,-1,-71.98796992481203
13406,4205,-850,984,16762,-11,28,9,-1850,-495,-18.5,-4.95,-1,-69.68045112781955
13456,4288,-714,1100,16734,-15,0,13,-1858,-476,-18.58,-4.76,-1,-64.3609022556391
13506,4325,-854,960,16728,-1,-6,11,-1857,-452,-18.57,-4.52,-1,-47.40902255639098
13556,4469,-800,1052,16824,-16,-6,10,-1860,-436,-18.6,-4.36,-1,-22.992481203007518
13606,4483,-800,1098,16644,-11,-14,14,-1862,-426,-18.62,-4.26,-1,-3.51203007518797
