ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
16708,172,-400,378,17472,316,-150,62,0,-8
16758,2024,76,52,16590,50,6,20,-11,-26
16808,4744,42,44,16800,-31,52,-11,-20,-40
16858,12155,-34,84,16760,4,22,11,-23,-54
16908,16088,-10,36,16814,8,16,6,-27,-64
16958,18684,-34,76,16796,3,7,3,-30,-75
17008,19657,-80,66,16778,-2,6,2,-29,-83
17058,20333,-38,86,16774,8,2,-2,-31,-91
17108,20803,-50,82,16776,-1,0,4,-32,-98
17158,21109,-68,104,16804,-4,1,3,-32,-104
17208,21335,-62,110,16804,-3,0,2,-32,-110
17258,21434,-62,120,16802,-3,-2,3,-32,-116
17308,21539,-56,130,16806,0,-3,3,-33,-121
17358,21625,-68,116,16774,-8,-2,3,-33,-125
17408,21671,-68,120,16786,-12,-1,3,-32,-129
17458,21706,-74,124,16782,-13,-3,3,-32,-132
17508,21730,-66,126,16772,-10,-1,4,-32,-134
17558,21750,-50,106,16804,-12,-3,3,-33,-136
17608,21784,-54,126,16780,-11,-1,3,-33,-138
17658,21816,-44,96,16774,-12,-3,3,-34,-138
17708,21840,-56,118,16802,-11,-1,3,-34,-140
17758,21832,-74,108,16776,-16,-2,3,-34,-140
17808,21790,-74,110,16782,-11,-1,2,-33,-141
17858,21778,-62,102,16792,-13,-2,4,-33,-141
17908,21748,-44,82,16798,-13,-1,2,-34,-140
17958,21738,-66,92,16788,-11,-1,3,-34,-140
18008,21735,-60,104,16796,-11,-1,2,-34,-140
18058,21728,-52,108,16790,-10,-2,3,-34,-141
18108,21730,-56,102,16792,-11,-1,3,-34,-141
18158,21768,-60,102,16796,-9,-1,3,-34,-141
18208,21785,-74,102,16802,-8,-2,4,-34,-141
18258,21803,-64,120,16808,-10,0,3,-33,-142
18308,21799,-62,108,16814,-7,-1,4,-33,-143
18358,21796,-56,102,16792,-8,-1,3,-34,-142
18408,21836,-54,98,16794,-8,-1,3,-34,-142
18458,21864,-70,102,16812,-9,-2,4,-34,-142
18508,21886,-76,114,16796,-9,-1,2,-33,-143
18558,21901,-80,122,16806,-9,-2,4,-32,-144
18608,21948,-74,112,16808,-8,-1,5,-32,-144
18658,21988,-54,102,16802,-7,-1,2,-32,-144
18708,22032,-60,134,16784,-12,-1,3,-33,-145
18758,22076,-80,94,16784,-12,-2,3,-32,-144
18808,22060,-76,112,16806,-12,-4,4,-31,-144
18858,21866,-66,106,16790,-23,-6,2,-31,-144
18908,21486,-54,82,16820,-25,-5,4,-32,-143
18958,19835,-42,102,16822,-53,-20,-1,-33,-143
19008,6840,634,1028,17654,27,69,-274,-38,-149
19058,18,940,4432,4540,-1535,-227,190,-39,-153
19108,0,-704,278,16960,321,-233,111,-5,-160
19158,0,-188,-106,17202,-89,7,2,-5,-158
19208,0,-156,-330,16796,-13,-4,3,-5,-134
19258,0,-198,-270,16802,-11,-4,3,-2,-116
19308,-1,-180,-290,16810,-15,-1,3,-1,-100
19358,0,-182,-294,16778,-14,-3,3,0,-86
19408,0,-166,-294,16794,-12,-3,4,0,-74
19458,0,-180,-272,16758,-11,1,3,1,-65
19508,0,-178,-308,16790,-10,-5,3,1,-56
19558,0,-186,-308,16794,-11,-2,5,2,-48
19608,-1,-176,-300,16794,-11,0,3,3,-41
19658,0,-168,-304,16772,-9,-2,4,3,-35
19708,0,-164,-288,16826,-9,0,4,2,-32
19758,0,-184,-322,16794,-9,-1,3,3,-26
19808,-1,-178,-296,16788,-8,-2,3,3,-23
19858,-1,-162,-242,17294,15,5,4,3,-23
