ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
21656,4171,594,-3086,16450,-15.0,0.0,4.0,761.0,713.0
21706,4185,612,-3188,16430,-15.0,-1.0,10.0,758.0,718.0
21756,4168,608,-3144,16422,-13.0,1.0,4.0,756.0,720.0
21806,4167,568,-3108,16424,-12.0,-2.0,4.0,756.0,720.0
21856,4143,626,-3166,16424,-20.0,0.0,3.0,754.0,723.0
21906,4056,630,-3152,16426,-12.0,0.0,4.0,751.0,725.0
21956,4108,540,-3124,16412,-14.0,-5.0,9.0,754.0,725.0
22006,4150,664,-3278,16396,-7.0,-9.0,9.0,749.0,734.0
22056,4175,576,-3140,16412,-9.0,-6.0,7.0,750.0,733.0
22106,4103,600,-3186,16432,-5.0,-9.0,7.0,750.0,735.0
22156,4192,666,-3180,16476,-6.0,-2.0,3.0,746.0,736.0
22206,4149,560,-3100,16434,-4.0,-2.0,7.0,748.0,733.0
22256,4251,616,-3136,16486,-9.0,-5.0,6.0,747.0,732.0
22306,4345,620,-3196,16394,-6.0,-4.0,7.0,746.0,735.0
22356,4311,576,-3102,16478,-5.0,-7.0,6.0,747.0,732.0
22406,4425,642,-3160,16406,-8.0,-4.0,8.0,745.0,733.0
22456,4444,610,-3176,16450,-9.0,-2.0,1.0,745.0,735.0
22506,4512,598,-3134,16424,-7.0,-3.0,5.0,745.0,734.0
22556,4597,654,-3150,16464,-9.0,-5.0,5.0,743.0,734.0
22606,4621,588,-3130,16428,-10.0,-5.0,7.0,744.0,733.0
22656,4641,614,-3146,16434,-5.0,-3.0,2.0,744.0,733.0
22706,4650,648,-3188,16432,-11.0,-5.0,6.0,742.0,735.0
22756,4628,610,-3220,16432,-9.0,-6.0,6.0,742.0,738.0
22806,4643,618,-3186,16440,1.0,-6.0,7.0,742.0,740.0
22856,4745,662,-3134,16438,-9.0,-7.0,8.0,739.0,738.0
22906,4849,598,-3180,16416,-6.0,-1.0,2.0,741.0,739.0
22956,4889,628,-3114,16464,-7.0,-4.0,5.0,740.0,736.0
23006,4948,618,-3188,16434,-13.0,-3.0,7.0,740.0,738.0
23056,5045,618,-3186,16436,-11.0,-6.0,3.0,740.0,739.0
